id ресурса;Название ресурса;Уровень каталога;Id родителя;

------------- Первый УРОВЕНЬ ------------;

3;Плитка керамическая и декоративный камень;1;;
4;Кровля, сайдинг, водосточная система;1;;
5;Напольные покрытия;1;;
6;Двери, Арки, Окна;1;;
7;Общестроительные материалы;1;;
8;Сантехника, отопление;1;;
9;Электрика;1;;
10;Оборудование, Инструмент;1;;
11;Лакокрасочные материалы;1;;
12;Пиломатериалы;1;;
13;Стройматериалы;1;;
14;Печи для дома и бани;1;;
15;Товары для дома и сада;1;;
16;Отделочные материалы, декор;1;;
17;Крепеж;1;;


------------- ВТОРОЙ УРОВЕНЬ ------------;

18;Природный камень;2;3;
19;Плитка;2;3;
20;Искусственный камень;2;3;

21;Фасадные материалы;2;4;
22;Кровельные материалы;2;4;

23;Порожки;2;5;
24;Плинтус пластиковый;2;5;
25;Обвод для труб ПВХ цветной;2;5;
26;Линолеум;2;5;
27;Ламинат;2;5;
28;Ковровое покрытие;2;5;
29;Газон искуственный;2;5;
30;Паркетная доска;2;5;

31;Замочно-скобяные изделия;2;6;
32;Окна;2;6;
33;Двери;2;6;
34;Арки;2;6;

35;Газобетонные и стеновые блоки;2;7;
36;Ленты специальные;2;7;
37;Кольца колодезные;2;7;
38;Кирпич;2;7;
40;Тротуарная плитка;2;7;
41;Винтовые сваи;2;7;
42;Асбестовые трубы;2;7;
43;Сыпучие материалы;2;7;
44;Арматура композитная;2;7;

45;Газоснабжение;2;8;
46;Утеплитель трубный;2;8;
47;Газовые водонагреватели;2;8;
48;Ванны;2;8;
49;Аксессуары для ванных комнат;2;8;
50;Фитинги;2;8;
51;Фильтры;2;8;
52;Смесители;2;8;
53;Системы вентиляции и вытяжки;2;8;
54;Система канализации;2;8;
55;Санфаянс;2;8;
56;Сантехническая арматура и комплектующие;2;8;
57;Резинотехнические изделия;2;8;
58;Насосное оборудование;2;8;
59;Система водоснабжения и отопления;2;8;
60;Мойки;2;8;
61;Мебель для ванных комнат;2;8;
62;Душевые кабины;2;8;
63;Гибкая подводка для воды;2;8;
64;Водонагреватели;2;8;
65;Вентили, клапаны, краны, регуляторы;2;8;

66;Удлинители, сетевые фильтры;2;9;
67;Кабель, провод;2;9;
68;Боксы, щиты;2;9;
69;Прокладка кабеля;2;9;
70;Управление светом;2;9;
71;Светильники;2;9;
72;Лента светодиодная;2;9;
73;Инструмент для электромонтажа;2;9;
74;Звонки электрические;2;9;
75;Электроустановочные изделия;2;9;
76;Источники света. Лампы LED И галогенные;2;9;
77;Низковольтная аппаратура;2;9;
78;Стабилизаторы напряжения;2;9;
79;Обогревательное оборудование;2;9;
80;Изделия для монтажа;2;9;
81;Источники питания;2;9;
82;Аксесуары для ТВ;2;9;

83;Организация рабочего места;2;10;
84;Электроинструмент;2;10;
85;Оборудование;2;10;
86;Такелажный инструмент;2;10;
87;Снегоуборочный инструмент;2;10;
88;Газовое оборудование;2;10;
89;Садовый инструмент;2;10;
90;Расходные материалы для инструмента;2;10;
91;Пневмоинструмент;2;10;
92;Запчасти для инструмента;2;10;
93;Ручной инструмент;2;10;
94;Спецодежда, обувь;2;10;

95;Краски-эмали;2;11;
96;Лаки;2;11;
97;Мастики;2;11;
98;Колера;2;11;
99;Монтажная пена;2;11;
100;Антисептики;2;11;
101;Добавки в бетон;2;11;
102;Морилка;2;11;
103;Олифа;2;11;
104;Растворители, жидкости специальные;2;11;
105;Шпатлевки;2;11;
106;Клея;2;11;
107;Грунтовка;2;11;
108;Герметики;2;11;
109;Защитно-текстурные покрытия;2;11;

110;Брусок;2;12;
111;Брус, доска;2;12;
112;Блок-хаус;2;12;
113;Полог;2;12;
114;Планкет;2;12;
115;Столярные изделия;2;12;
116;Погонаж;2;12;
117;Терасная доска;2;12;
118;Древесно-плитные материалы;2;12;
119;Половая доска;2;12;
120;Имитация бруса;2;12;
121;Вагонка;2;12;

122;Сухие строительные смеси, гидроизоляция;2;13;
123;Сетка;2;13;
124;Металлопрокат;2;13;
125;Утеплитель;2;13;
126;Гипсовые изделия;2;13;
127;Ворота Металлические;2;13;

128;Печное литье;2;14;
129;Мебель для бани;2;14;
130;Котлы, печи;2;14;
131;Дымоходы и комплектующие;2;14;
132;Водогрейные колонки;2;14;
133;Банные аксесуары;2;14;
134;Аксесуары для каминов;2;14;
135;Теплоизоляционные материалы;2;14;
136;Камень для сауны и бани;2;14;
137;Облицовочная плитка/саляная;2;14;
138;Евродрова;2;14;
139;Расходные материалы для печей и каминов;2;14;

140;Пищевое оборудование;2;15;
141;Товары для пикника;2;15;
142;Товары для детей;2;15;
143;Средства для загара;2;15;
144;Палатки, мешки спальные;2;15;
145;Павильон, шатер;2;15;
146;Отдых на воде;2;15;
147;Надувная мебель;2;15;
148;Мангалы, грили, барбекю, тандыр;2;15;
149;Зонты подставки;2;15;
150;Качели, гамаки;2;15;
151;Сад и огород;2;15;
152;Бассейны;2;15;
153;Хозяйственные товары;2;15;
154;Предметы интерьера;2;15;

155;Потолок;2;16;
156;Стеновые материалы;2;16;
157;Обои;2;16;

158;Гвозди;2;17;
159;Хомуты;2;17;
160;Саморезы, шурупы;2;17;
161;Кляймер;2;17;
162;Фиксаторы арматуры;2;17;
163;Перфорированный крепеж;2;17;
164;Анкерный крепеж;2;17;
165;Общий крепеж;2;17;
166;Дюбельный крепеж;2;17;


------------- ТРЕТИЙ УРОВЕНЬ ------------;

-- Природный камень --;
167;Валун;3;18;
168;Колотый камень;3;18;
169;Булыжник;3;18;
170;Крошка;3;18;
171;Песчаник;3;18;

-- Плитка --;
172;Керамогранит;3;19;

-- Искусственный камень --;
173;Casavaga;3;20;
174;Облицовочная жаростойкая (Терракот);3;20;

-- Фасадные материалы --;
175;Сайдинг металлический;3;21;
176;Фасадные панели;3;21;
177;Сайдинг виниловый;3;21;

-- Кровельные материалы --;
178;Шифер;3;22;
179;Профнастил;3;22;
180;Поликарбонат;3;22;
181;Плоский лист;3;22;
182;Ондулин;3;22;
183;Мягкая кровля;3;22;
184;Металлочерепица;3;22;
185;Кровельная вентиляция и выходы;3;22;
186;Штакетник металлический;3;22;
187;Дренажная система;3;22;
188;Гофролист;3;22;
189;Гидропароизоляция;3;22;
190;Водосточная система;3;22;
191;Козырьки;3;22;
192;Битумно-направляемы материалы;3;22;
193;Отделочные элементы;3;22;

-- Замочно-скобяные изделия --;
194;Мебельная фурнитура;3;31;
195;Шпингалеты, задвижки, засовы;3;31;
196;Комлектующие к замкам;3;31;
197;Защелки межкомнатные;3;31;
198;Цилиндровые механизмы;3;31;
199;Замки накладные;3;31;
200;Замки навесные;3;31;
201;Ручки;3;31;
202;Замки врезные;3;31;
203;Доводчики, пружины;3;31;
204;Почтовые замки;3;31;
205;Петли;3;31;
206;Оконная фурнитура;3;31;

